"","Wardcode","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","districtcode.x","MyID","Wardname","Population2011Census.y","GeneralFertilityRate","Malelifeexpectancy","Femalelifeexpectancy","District","Districtcode","districtcode.y","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"1","00ANGQ",11201,117.7,0,23.7,3.6,9.4,0.6,"00AN","00AN11201","Hammersmith and Fulham - Town",11201,47.3,78.8,81.1,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"2","00ANGA",11518,114,0.3,24.9,4.5,9.3,0.5,"00AN","00AN11518","Hammersmith and Fulham - Addison",11518,49.4,78.8,88.6,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"3","00ADGN",10800,44.2,0.7,1.1,2.9,22.1,1.3,"00AD","00AD10800","Bexley - Falconwood and Welling",10800,58.1,78.2,82.8,"Bexley"," 00AD","00AD",NA,NA,NA,NA,NA
"4","00BEGH",12321,65.3,0.7,20.3,4.6,12.3,0.7,"00BE","00BE12321","Southwark - East Dulwich",12321,76.7,81.2,82.9,"Southwark"," 00BE","00BE",17.5229283337391,8.7,28.2,25.9,5.6
"5","00BCFZ",12609,64.3,1.3,4.7,4.2,17.2,1.2,"00BC","00BC12609","Redbridge - Barkingside",12609,68.7,81,85.7,"Redbridge"," 00BC","00BC",20.2791656753113,14.8,64.2,40.5,12.8
"6","00AGGD",12702,67.6,1.3,19.6,3.3,8.4,0.6,"00AG","00AG12702","Camden - Belsize",12702,83.4,82.3,83.9,"Camden"," 00AG","00AG",17.4460714848055,12,27.8,46.3,14
"7","00BGGL",10286,213.5,1.4,31.9,11.2,17.2,0.3,"00BG","00BG10286","Tower Hamlets - Spitalfields and Banglatown",10286,35.7,92.7,93.7,"Tower Hamlets"," 00BG","00BG",NA,NA,NA,NA,NA
"8","00BEGD",15032,128.1,1.6,63.5,11.6,19.3,0.4,"00BE","00BE15032","Southwark - Camberwell Green",15032,69.6,74.4,85.1,"Southwark"," 00BE","00BE",21.1881319850985,7.4,61.1,46.8,13.4
"9","00BKGC",11991,255.3,2.1,7.8,3.3,8.2,0.4,"00BK","00BK11991","Westminster - Bryanston and Dorset Square",11991,56,85.6,88.7,"Westminster"," 00BK","00BK",NA,NA,NA,NA,NA
"10","00BBGL",17362,111.2,2.2,26.4,9.8,17.6,0.6,"00BB","00BB17362","Newham - Forest Gate South",17362,61.8,74.6,77.2,"Newham"," 00BB","00BB",19.4102061974427,6.5,68.2,54.8,25.5
"11","00AHGE",16883,69.4,2.3,13.7,5.1,15.3,0.7,"00AH","00AH16883","Croydon - Addiscombe",16883,64.9,76.8,81.4,"Croydon"," 00AH","00AH",18.6815139489427,9.7,43.6,34.5,10.2
"12","00BBGM",15885,70.4,2.4,12.8,9.5,20.3,0.6,"00BB","00BB15885","Newham - Green Street East",15885,96.4,81.9,83,"Newham"," 00BB","00BB",22.2599937047529,5.7,89.9,62.2,33.2
"13","00BJGN",14160,84.9,2.4,22.6,2.8,10.9,0.6,"00BJ","00BJ14160","Wandsworth - Shaftesbury",14160,51,80.8,84.9,"Wandsworth"," 00BJ","00BJ",12.7189265536723,7.7,18.8,29,5.7
"14","00BJGF",15198,105.1,2.6,17.8,5.2,14.7,0.6,"00BJ","00BJ15198","Wandsworth - Graveney",15198,63.8,76.9,84,"Wandsworth"," 00BJ","00BJ",17.8707724700618,8.8,46.4,42.4,14.4
"15","00AZGG",15214,57,3,12.6,6.5,17.3,0.9,"00AZ","00AZ15214","Lewisham - Catford South",15214,68.9,77.4,81.4,"Lewisham"," 00AZ","00AZ",21.4670698041278,11.3,56.2,32.2,7.1
"16","00ABFZ",11545,91.7,3,29.4,10.2,28,0.9,"00AB","00AB11545","Barking and Dagenham - Becontree",11545,67.4,75.3,81,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"17","00BKGF",12034,95.3,3,43.4,10.4,18.4,0.4,"00BK","00BK12034","Westminster - Harrow Road",12034,77.5,77.1,92.1,"Westminster"," 00BK","00BK",18.8964600299152,8.5,49,48.2,17.9
"18","00BEGU",13780,107.3,3,52.3,8.7,21.9,0.5,"00BE","00BE13780","Southwark - South Bermondsey",13780,60.5,77.2,81.1,"Southwark"," 00BE","00BE",20.5297532656023,7.2,44.8,41.1,14.6
"19","00AFHA",9824,26.6,3.1,6.2,1.7,12.1,1.3,"00AF","00AF9824","Bromley - Shortlands",9824,48.2,83,87.9,"Bromley"," 00AF","00AF",18.5260586319218,19.7,15.6,16,3.6
"20","00ANGE",10996,111.6,3.1,36.2,4.6,14.8,0.5,"00AN","00AN10996","Hammersmith and Fulham - Fulham Broadway",10996,50.4,76.2,79.4,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"21","00BBGN",15113,85.5,3.2,13.5,9.7,21.6,0.7,"00BB","00BB15113","Newham - Green Street West",15113,86.8,80.7,86.6,"Newham"," 00BB","00BB",21.0150201813009,7.4,89.3,61.1,32.7
"22","00BCGC",11516,89.3,3.3,8.2,3.7,12.3,1.1,"00BC","00BC11516","Redbridge - Church End",11516,67.5,81.4,84.6,"Redbridge"," 00BC","00BC",18.2354984369573,11.9,26.5,22.1,5.8
"23","00AQGT",11394,85.8,3.4,15.1,6.4,20.9,1,"00AQ","00AQ11394","Harrow - Wealdstone",11394,94,75.5,81.4,"Harrow"," 00AQ","00AQ",23.4246094435668,11,62.6,46.9,18.3
"24","00ANGB",14160,73.1,3.6,34.8,6.7,13.7,0.5,"00AN","00AN14160","Hammersmith and Fulham - Askew",14160,50.8,74.6,78.2,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"25","00AHGT",14607,81.7,3.8,7.6,4.4,12.9,1.2,"00AH","00AH14607","Croydon - Purley",14607,79.6,79.6,83.6,"Croydon"," 00AH","00AH",19.4632710344355,15,31.6,23.1,5
"26","00BEGN",14136,97.6,3.8,54.2,7.8,19.4,0.4,"00BE","00BE14136","Southwark - Newington",14136,48.1,77.5,83.2,"Southwark"," 00BE","00BE",17.282116581777,8.5,48.2,42.5,13.6
"27","00BKGB",10300,118.2,3.8,20.4,4.4,7.5,0.4,"00BK","00BK10300","Westminster - Bayswater",10300,43.2,91.6,85.1,"Westminster"," 00BK","00BK",11.747572815534,9.7,31.1,56.1,23.9
"28","00BKGW",10575,2100.2,3.9,23.5,3.4,9.6,0.4,"00BK","00BK10575","Westminster - West End",10575,38.1,93.2,99.6,"Westminster"," 00BK","00BK",7.91489361702128,10.9,32.4,56.8,24.2
"29","00BKGT",9369,162,4,28.2,4,9.4,0.5,"00BK","00BK9369","Westminster - Warwick",9369,40.7,80.7,95.1,"Westminster"," 00BK","00BK",10.7161916960188,11.3,24,43.9,15.9
"30","00ANGR",13389,79.2,4.2,52.3,10.5,21.5,0.5,"00AN","00AN13389","Hammersmith and Fulham - Wormholt and White City",13389,70.6,78.1,85.9,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"31","00BHGD",14604,69.1,4.3,9.1,7.1,15.7,0.6,"00BH","00BH14604","Waltham Forest - Grove Green",14604,80.5,74.4,80.8,"Waltham Forest"," 00BH","00BH",19.0427280197206,7.1,53.2,53,21.2
"32","00BKGN",12563,98.3,4.4,55.4,13.7,22.6,0.4,"00BK","00BK12563","Westminster - Queen's Park",12563,83.3,76.8,83.8,"Westminster"," 00BK","00BK",21.7702777998886,9.5,52.6,43.3,15.2
"33","00BEGM",14129,126.4,4.5,66.9,13.1,23.8,0.4,"00BE","00BE14129","Southwark - Livesey",14129,80,77,81.5,"Southwark"," 00BE","00BE",23.5685469601529,9.1,62.2,44.3,11.9
"34","00BEGL",15362,140.5,4.5,45,7.6,15.7,0.4,"00BE","00BE15362","Southwark - Grange",15362,59.7,77.9,81.1,"Southwark"," 00BE","00BE",14.1062361671657,6.5,39.1,38.3,10.8
"35","00AHGH",18652,219.7,4.5,27.5,8.3,20.2,0.7,"00AH","00AH18652","Croydon - Broad Green",18652,83.8,75.3,83.8,"Croydon"," 00AH","00AH",25.7613124597898,7.1,68.6,46.2,16.9
"36","00BCGB",14257,67.1,4.8,10,6.5,18.5,1,"00BC","00BC14257","Redbridge - Chadwell",14257,90.5,77.9,81.8,"Redbridge"," 00BC","00BC",24.6685838535456,10.3,56.9,31.6,9.9
"37","00APGC",14483,111.6,4.9,28.2,15.3,22.5,0.5,"00AP","00AP14483","Haringey - Bruce Grove",14483,83.9,75.2,83,"Haringey"," 00AP","00AP",22.460816129255,8.4,55.9,55.5,23.5
"38","00BHFX",13799,84.6,5,28.3,10.5,19.2,0.6,"00BH","00BH13799","Waltham Forest - Cann Hall",13799,106.8,77,81.3,"Waltham Forest"," 00BH","00BH",21.689977534604,7.1,57,48.8,18.2
"39","00BHGR",13269,81,5.3,21.4,9,20.4,0.6,"00BH","00BH13269","Waltham Forest - William Morris",13269,102.7,77.5,80.7,"Waltham Forest"," 00BH","00BH",22.413143416987,8,51.8,43.6,16.9
"40","00AGGQ",13417,126.3,5.3,33.3,5.6,13.6,0.4,"00AG","00AG13417","Camden - Kentish Town",13417,55.2,73.5,78.4,"Camden"," 00AG","00AG",15.8008496683312,9.6,28.4,34.2,10.4
"41","00BGGN",14862,146.5,5.4,32.9,9.3,17.1,0.3,"00BG","00BG14862","Tower Hamlets - Whitechapel",14862,66.9,73.6,83.2,"Tower Hamlets"," 00BG","00BG",16.3706096083973,5.6,60.2,48.8,24.8
"42","00BEGF",15178,122.6,5.6,43.3,6.4,11.3,0.4,"00BE","00BE15178","Southwark - Chaucer",15178,36.3,88.5,97.5,"Southwark"," 00BE","00BE",14.8240874950586,5.2,49.9,45.2,13.3
"43","00BAGE",8977,52,5.7,9.9,1.2,6.4,0.8,"00BA","00BA8977","Merton - Hillside",8977,60,81,91.7,"Merton"," 00BA","00BA",13.8242174445806,13.7,21.7,41.6,11.3
"44","00AGGJ",11986,65.2,5.7,7.1,1.9,6.1,0.8,"00AG","00AG11986","Camden - Frognal and Fitzjohns",11986,55.6,80,85.6,"Camden"," 00AG","00AG",NA,NA,NA,NA,NA
"45","00AXGL",10459,30.3,5.8,7.5,1.7,10.7,1,"00AX","00AX10459","Kingston upon Thames - Surbiton Hill",10459,54.2,79.1,81.9,"Kingston upon Thames"," 00AX","00AX",16.7033177167989,13.5,19,25,7
"46","00AWGM",9847,100.2,5.8,4,1.5,3.8,0.6,"00AW","00AW9847","Kensington and Chelsea - Queen's Gate",9847,50.7,94.5,86.6,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"47","00BHGN",12879,109.2,5.8,15.4,7.5,15.1,0.7,"00BH","00BH12879","Waltham Forest - Leytonstone",12879,60,76.8,84,"Waltham Forest"," 00BH","00BH",16.4220824598183,7.5,47.6,42.6,15.4
"48","00ADGU",11135,30,5.9,7,3.7,21.8,1.4,"00AD","00AD11135","Bexley - St. Michael's",11135,56.4,83.2,88.4,"Bexley"," 00AD","00AD",NA,NA,NA,NA,NA
"49","00AWFY",10013,97.2,5.9,9.4,2.8,6.3,0.6,"00AW","00AW10013","Kensington and Chelsea - Abingdon",10013,62.2,84.6,87.1,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"50","00BEGY",15565,150.3,6,41.5,9.7,17.5,0.5,"00BE","00BE15565","Southwark - The Lane",15565,87.8,74.5,83.8,"Southwark"," 00BE","00BE",19.8393832316094,9.1,50.7,37.7,8.5
"51","00BBGC",15982,109.5,6.1,25.8,9.8,22.4,0.6,"00BB","00BB15982","Newham - Boleyn",15982,89,75.6,82.4,"Newham"," 00BB","00BB",24.9405581278939,7.5,78.1,54.8,26.4
"52","00BGFW",13683,123.6,6.1,46,12.8,22.1,0.4,"00BG","00BG13683","Tower Hamlets - Bethnal Green North",13683,54.5,73.6,78.6,"Tower Hamlets"," 00BG","00BG",18.5558722502375,7,49.4,38.7,15
"53","00AJGF",14029,159.6,6.1,11,3.4,7.3,0.8,"00AJ","00AJ14029","Ealing - Ealing Broadway",14029,49.7,79.7,85,"Ealing"," 00AJ","00AJ",14.5484353838477,11.9,30.5,44.3,18.6
"54","00BKGM",10366,376.3,6.1,9.9,1.3,5.8,0.5,"00BK","00BK10366","Westminster - Marylebone High Street",10366,36.5,84.4,83.9,"Westminster"," 00BK","00BK",8.52787960640556,11.7,27.8,58.5,21.8
"55","00AEGR",14915,141,6.9,26.7,13.3,19.7,0.6,"00AE","00AE14915","Brent - Kensal Green",14915,94.6,76.7,83.1,"Brent"," 00AE","00AE",19.5507877975193,9,52.3,50.2,21.9
"56","00AXGA",12373,48.7,7,12.5,1.9,9,0.9,"00AX","00AX12373","Kingston upon Thames - Canbury",12373,77.1,77.2,81.6,"Kingston upon Thames"," 00AX","00AX",21.7004768447426,7.9,21.4,27.5,9.5
"57","00BEGC",13174,100.1,7,46.6,10.1,15.2,0.5,"00BE","00BE13174","Southwark - Brunswick Park",13174,73.3,78.8,90.7,"Southwark"," 00BE","00BE",19.6599362380446,7.1,53.3,40.6,10.7
"58","00BEGQ",14720,126.2,7,59.4,14.4,19.6,0.5,"00BE","00BE14720","Southwark - Peckham",14720,89,75.8,77.8,"Southwark"," 00BE","00BE",24.2663043478261,6.2,70.8,47.6,12.3
"59","00AQGH",11138,45.6,7.2,14.8,3.7,23.4,1.2,"00AQ","00AQ11138","Harrow - Kenton East",11138,60.4,78.2,85.9,"Harrow"," 00AQ","00AQ",18.737654875202,12.4,73.4,57.1,24.7
"60","00BKGA",11250,56.8,7.2,9.1,2.4,10,0.7,"00BK","00BK11250","Westminster - Abbey Road",11250,68.5,81.5,85.1,"Westminster"," 00BK","00BK",17.4577777777778,14,35.4,56.9,20.4
"61","00AGGG",11925,110.4,7.4,40.3,6.2,13.9,0.4,"00AG","00AG11925","Camden - Cantelowes",11925,46,77.2,82.5,"Camden"," 00AG","00AG",16.1844863731656,9.1,31.9,35.9,12.6
"62","00ATGT",11448,117.8,7.4,14.7,2.7,9.9,0.8,"00AT","00AT11448","Hounslow - Turnham Green",11448,52.2,77.9,83.8,"Hounslow"," 00AT","00AT",14.9807826694619,12.9,23.2,39.9,12.8
"63","00AGGP",13023,480.3,7.5,42.5,6,12.9,0.3,"00AG","00AG13023","Camden - Holborn and Covent Garden",13023,40.3,75.6,82.8,"Camden"," 00AG","00AG",NA,NA,NA,NA,NA
"64","00BKGE",11760,111,7.6,55.8,12.4,28.1,0.3,"00BK","00BK11760","Westminster - Church Street",11760,54.3,73.4,76.4,"Westminster"," 00BK","00BK",23.1632653061224,11.4,61.7,52.7,27.2
"65","00AHGG",16201,68.8,7.7,11.9,8.5,17.9,0.8,"00AH","00AH16201","Croydon - Bensham Manor",16201,90.1,80.9,84.3,"Croydon"," 00AH","00AH",23.0603049194494,9.8,73.5,45.3,12.9
"66","00AQGB",12420,151.9,7.7,11.4,5.3,11.7,0.8,"00AQ","00AQ12420","Harrow - Greenhill",12420,63.3,76.4,82.1,"Harrow"," 00AQ","00AQ",16.8276972624799,10.4,58.5,52.7,20.7
"67","00BCGE",14666,183.3,7.7,10.7,9.1,18.6,0.8,"00BC","00BC14666","Redbridge - Clementswood",14666,93.1,76.7,81.2,"Redbridge"," 00BC","00BC",26.6398472657848,7.4,84.2,55.6,25.1
"68","00BFGP",9599,43.5,8.1,11.9,3.5,15.7,0.9,"00BF","00BF9599","Sutton - Sutton South",9599,85.8,77.2,81.7,"Sutton"," 00BF","00BF",14.8765496405876,17.5,24.4,29.4,9.7
"69","00AUGK",12400,93.2,8.1,38,6.9,16.5,0.5,"00AU","00AU12400","Islington - St. George's",12400,44.6,75.4,82.9,"Islington"," 00AU","00AU",NA,NA,NA,NA,NA
"70","00ARGR",15921,225.4,8.1,13,5,21,0.9,"00AR","00AR15921","Havering - Romford Town",15921,70,76.4,81,"Havering"," 00AR","00AR",17.6747691727907,14,16.4,16.6,5.6
"71","00AGGM",12364,118.8,8.2,49.2,7.7,18.6,0.4,"00AG","00AG12364","Camden - Haverstock",12364,65.9,76.7,81.4,"Camden"," 00AG","00AG",19.4920737625364,11.1,37.1,36.3,10.7
"72","00AQGK",12259,83.2,8.3,11.1,6.1,17.1,0.9,"00AQ","00AQ12259","Harrow - Marlborough",12259,75.1,78.9,84.3,"Harrow"," 00AQ","00AQ",20.6949995921364,10.6,62.9,51.6,20.2
"73","00ANGH",11004,75.5,8.5,18.1,2.8,9.7,0.7,"00AN","00AN11004","Hammersmith and Fulham - Munster",11004,54.5,85.3,84.5,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"74","00AWGG",8792,108.6,8.5,16.4,2.2,9.2,0.6,"00AW","00AW8792","Kensington and Chelsea - Hans Town",8792,48.2,98.1,92.3,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"75","00BKGJ",13195,172.3,8.6,10.5,3.4,7.1,0.4,"00BK","00BK13195","Westminster - Lancaster Gate",13195,46.5,93.7,88.1,"Westminster"," 00BK","00BK",11.5953012504737,8.4,33.7,64.6,32.2
"76","00ANGC",12216,81.2,8.8,21.9,4.7,9.3,0.5,"00AN","00AN12216","Hammersmith and Fulham - Avonmore and Brook Green",12216,43,79.2,82.9,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"77","00AGGX",12060,97.6,8.8,22.2,4.6,9.5,0.5,"00AG","00AG12060","Camden - West Hampstead",12060,55.6,77.9,83,"Camden"," 00AG","00AG",12.5456053067993,8.4,30.5,43.3,13.9
"78","00BKGG",12462,155.4,8.9,9.8,2.9,11.1,0.5,"00BK","00BK12462","Westminster - Hyde Park",12462,46,87.9,91.3,"Westminster"," 00BK","00BK",12.7427379232868,9.9,44.7,64.2,34.1
"79","00AEGQ",17162,189.6,8.9,44,23.4,24.1,0.5,"00AE","00AE17162","Brent - Harlesden",17162,106.9,71.9,80.6,"Brent"," 00AE","00AE",25.8652837664608,8,67,52.9,23
"80","00AWGR",8187,134.7,9.1,13.1,2,7.3,0.7,"00AW","00AW8187","Kensington and Chelsea - Stanley",8187,48.2,81.2,82.8,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"81","00ADGE",10546,31.7,9.2,4.4,2.7,22.9,1.3,"00AD","00AD10546","Bexley - Brampton",10546,43.9,80.4,84.9,"Bexley"," 00AD","00AD",17.2482457803907,20.9,13.1,10.4,1.6
"82","00AGGE",10892,438.7,9.2,28.6,4.2,7.8,0.2,"00AG","00AG10892","Camden - Bloomsbury",10892,22.1,77.2,81.6,"Camden"," 00AG","00AG",7.13367609254499,10,40.4,51.2,19.5
"83","00AWGK",9537,100.5,9.3,55.8,9.3,19.4,0.5,"00AW","00AW9537","Kensington and Chelsea - Notting Barns",9537,67.1,78.9,84.7,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"84","00AUGB",11490,195.4,9.3,42.3,5.6,15.1,0.4,"00AU","00AU11490","Islington - Clerkenwell",11490,29.2,77.6,84.9,"Islington"," 00AU","00AU",12.236727589208,8.2,29.3,38.5,12.6
"85","00ANGG",11923,230.4,9.4,39.9,5.5,15,0.5,"00AN","00AN11923","Hammersmith and Fulham - Hammersmith Broadway",11923,43.4,74,81.9,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"86","00ADGC",10616,25.8,9.5,3.8,2.1,22.4,1.3,"00AD","00AD10616","Bexley - Blackfen and Lamorbey",10616,53.3,84.2,84.6,"Bexley"," 00AD","00AD",NA,NA,NA,NA,NA
"87","00BJGH",14679,63.7,9.5,13.1,2.7,8.9,0.7,"00BJ","00BJ14679","Wandsworth - Nightingale",14679,63.3,75.3,79.2,"Wandsworth"," 00BJ","00BJ",16.2068260780707,9.5,21.4,27.7,6.7
"88","00BFGT",10200,72,9.5,16.4,4.2,18.7,1.1,"00BF","00BF10200","Sutton - Wallington South",10200,53,178,81.7,"Sutton"," 00BF","00BF",18.2058823529412,17.3,21.3,18.5,4.3
"89","00AEGL",13023,91.6,9.6,21.5,5.3,15.9,0.7,"00AE","00AE13023","Brent - Brondesbury Park",13023,67.2,80.3,84.7,"Brent"," 00AE","00AE",16.7933655839668,12.1,43.8,47.2,16.2
"90","00AUGL",11553,253.8,9.6,41.5,5.1,15.5,0.4,"00AU","00AU11553","Islington - St. Mary's",11553,47,73.6,82.4,"Islington"," 00AU","00AU",NA,NA,NA,NA,NA
"91","00AZGS",15618,74.7,9.7,26.5,7.1,16.2,0.7,"00AZ","00AZ15618","Lewisham - Perry Vale",15618,73.5,76.2,80.8,"Lewisham"," 00AZ","00AZ",20.6876680752977,9.6,42.5,30.5,7.2
"92","00AEGU",15529,97.9,9.7,19.2,7.3,14.5,0.6,"00AE","00AE15529","Brent - Mapesbury",15529,72.6,78.6,86,"Brent"," 00AE","00AE",16.066713890141,8.3,43.4,52.3,21.3
"93","00ANGP",12175,349.3,9.7,37.9,8.2,13.9,0.4,"00AN","00AN12175","Hammersmith and Fulham - Shepherd's Bush Green",12175,52.6,72.7,85.4,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"94","00ANGL",10813,124,9.8,20.6,3,9.5,0.8,"00AN","00AN10813","Hammersmith and Fulham - Parsons Green and Walham",10813,61.6,80.3,84.6,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"95","00AWGE",9104,105.6,10,22.7,5.1,8.4,0.4,"00AW","00AW9104","Kensington and Chelsea - Earl's Court",9104,44.9,82.2,92.6,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"96","00ATGP",12658,130.4,10.2,18.9,4.6,16.3,0.9,"00AT","00AT12658","Hounslow - Hounslow West",12658,95.8,76.4,81.5,"Hounslow"," 00AT","00AT",17.4435139832517,11.2,75.9,62.6,29.4
"97","00AYGE",15032,172.6,10.2,37.4,6.6,13.3,0.4,"00AY","00AY15032","Lambeth - Ferndale",15032,37.5,74.8,82.6,"Lambeth"," 00AY","00AY",12.5598722724854,6.2,40.4,41.7,11.8
"98","00BBGR",15470,74,10.3,41.7,11.3,23.6,0.5,"00BB","00BB15470","Newham - Plaistow North",15470,96,75.3,82.2,"Newham"," 00BB","00BB",23.6005171299289,7.1,73.4,52.1,23.6
"99","00BFGJ",10641,50.7,10.4,3.6,1.7,18.6,1.4,"00BF","00BF10641","Sutton - Nonsuch",10641,52,81.6,87.4,"Sutton"," 00BF","00BF",18.5508880744291,17.3,15.3,15.7,3.6
"100","00AUGJ",12917,88.9,10.4,47,6.8,17.4,0.4,"00AU","00AU12917","Islington - Mildmay",12917,48.5,76.9,81,"Islington"," 00AU","00AU",18.2550127738639,7.8,34.5,33.8,10.6
"101","00AUGM",11822,149.9,10.4,40.4,5.9,17.3,0.4,"00AU","00AU11822","Islington - St. Peter's",11822,62.3,76.7,80.1,"Islington"," 00AU","00AU",NA,NA,NA,NA,NA
"102","00AUGE",15030,86.8,10.5,33.5,6,12.6,0.4,"00AU","00AU15030","Islington - Highbury West",15030,54.4,75.3,85.1,"Islington"," 00AU","00AU",15.189620758483,6.7,32.1,34.5,12.8
"103","00APGQ",14580,151.9,10.5,39.2,12.7,22.7,0.4,"00AP","00AP14580","Haringey - Tottenham Green",14580,64.6,72.5,82.8,"Haringey"," 00AP","00AP",20.4183813443073,8.2,52.8,55,25.8
"104","00AWGB",8377,197.2,10.5,45.2,6.4,13.1,0.4,"00AW","00AW8377","Kensington and Chelsea - Colville",8377,53.3,78,88.4,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"105","00BCGS",11865,67.8,10.6,11.8,2.8,14.9,1,"00BC","00BC11865","Redbridge - Snaresbrook",11865,68.8,77.9,84.8,"Redbridge"," 00BC","00BC",15.4150863885377,17.6,30.2,27.2,6.5
"106","00ANGJ",11589,97.7,10.6,28.6,4.7,11.2,0.4,"00AN","00AN11589","Hammersmith and Fulham - North End",11589,42.3,79.1,89.8,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"107","00BHGJ",13912,110.2,10.6,27,11.5,19,0.6,"00BH","00BH13912","Waltham Forest - Hoe Street",13912,79.1,75.9,81.7,"Waltham Forest"," 00BH","00BH",21.0753306497987,8.8,49.9,42.8,17.2
"108","00AQGP",11124,44.4,10.7,2.2,3.2,13.7,1.3,"00AQ","00AQ11124","Harrow - Rayners Lane",11124,64.9,82.1,85,"Harrow"," 00AQ","00AQ",20.631067961165,13.9,65.5,48,17.6
"109","00AXFY",9437,34.1,10.8,17.4,2.4,11.9,1,"00AX","00AX9437","Kingston upon Thames - Berrylands",9437,60.4,78.4,83.9,"Kingston upon Thames"," 00AX","00AX",16.9227508742185,14.9,18.1,24.1,6.9
"110","00AWFZ",8839,291.9,10.8,12.3,1.4,6.6,0.6,"00AW","00AW8839","Kensington and Chelsea - Brompton",8839,47.3,84.8,90.5,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"111","00BBGG",15917,174.4,10.9,15.7,8.4,19.3,0.6,"00BB","00BB15917","Newham - East Ham Central",15917,104.2,75.1,81.7,"Newham"," 00BB","00BB",22.4539800213608,7.1,81.9,61.4,29.1
"112","00AXGE",9750,36.4,11,6.9,1.8,11.7,1.2,"00AX","00AX9750","Kingston upon Thames - Coombe Vale",9750,51.4,80.2,85.3,"Kingston upon Thames"," 00AX","00AX",21.2410256410256,13.3,33.4,33.5,11.1
"113","00BJGC",15022,49,11,11.3,2.2,7.9,0.7,"00BJ","00BJ15022","Wandsworth - East Putney",15022,45.7,80.7,85.1,"Wandsworth"," 00BJ","00BJ",13.2738649980029,11,20.6,39.4,9.3
"114","00AQFY",11343,56.1,11,3.7,2.8,15.1,1.5,"00AQ","00AQ11343","Harrow - Belmont",11343,81.1,82.1,85.5,"Harrow"," 00AQ","00AQ",21.2465837961739,13,58.7,41.6,13.2
"115","00AUFX",12201,150.3,11,38.5,5,16.3,0.5,"00AU","00AU12201","Islington - Barnsbury",12201,45.1,75,79.5,"Islington"," 00AU","00AU",14.8840258995164,9.4,28.9,35.5,10.9
"116","00ATGL",15169,213.4,11.1,16.9,3.9,12.8,0.7,"00AT","00AT15169","Hounslow - Hounslow Central",15169,81.6,78.5,87,"Hounslow"," 00AT","00AT",18.5312149779155,9.5,70.7,64.5,29.5
"117","00BJGD",14613,83.7,11.2,15.2,2.4,8.5,0.7,"00BJ","00BJ14613","Wandsworth - Fairfield",14613,46.2,77.2,80.3,"Wandsworth"," 00BJ","00BJ",12.6736467528913,6.7,22.1,32.5,7.1
"118","00AHHA",16539,95.9,11.2,19.7,11.3,18.7,0.7,"00AH","00AH16539","Croydon - Thornton Heath",16539,87.1,75.6,82.8,"Croydon"," 00AH","00AH",25.0256968377774,9.1,67.1,37.6,9.4
"119","00AEGT",16989,123.3,11.2,45,13.3,17.1,0.4,"00AE","00AE16989","Brent - Kilburn",16989,81.4,76.2,84.2,"Brent"," 00AE","00AE",18.6002707634352,8.6,50,48.1,18.4
"120","00BBGU",17768,185.7,11.2,31.8,7,13.9,0.4,"00BB","00BB17768","Newham - Stratford and New Town",17768,49.1,78.5,79.7,"Newham"," 00BB","00BB",NA,NA,NA,NA,NA
"121","00AEGN",15059,112.1,11.5,19.9,9.1,19.8,0.8,"00AE","00AE15059","Brent - Dudden Hill",15059,76,85.3,88.1,"Brent"," 00AE","00AE",20.3997609403015,9.7,55.9,56.2,23.8
"122","00APGK",13939,247.3,11.5,38.2,12.1,20.8,0.5,"00AP","00AP13939","Haringey - Noel Park",13939,53,74.8,84.7,"Haringey"," 00AP","00AP",19.0974962335892,8.5,45.2,51.7,25.4
